,N_title,N_type,N_description,N_release_year,N_age_certification,N_production_countries,N_runtime,N_seasons,D_title,D_type,D_description,D_release_year,D_rating,D_country,D_duration,IMDBShows_Series_Title,IMDBShows_IMDB_Rating,IMDBMovies.IMDB_Rating,IMDBMovies.Series_Title,TvShowsAndMoviesWithRating_title,TvShowsAndMoviesWithRating_type,TvShowsAndMoviesWithRating_description,TvShowsAndMoviesWithRating_release_year,TvShowsAndMoviesWithRating_age_certification,TvShowsAndMoviesWithRating_productionCountry,TvShowsAndMoviesWithRating_runtime,TvShowsAndMoviesWithRating_production_countries,TvShowsAndMoviesWithRating_available_on,IMDBMovies_Series_Title,IMDBMovies_IMDB_Rating,TvShowsAndMoviesWithRating_imdb_rating
1049,Chhota Bheem and the ShiNobi Secret,MOVIE,"Prof. Dhoomketu is trying to build a new machine based on how a volcano works. Dholu and Bholu mess around which gives Kalia a new 'smoking' hairdo. As Bheem and Chutki try to restore the machine, Indumati arrives in with Bheem's Samurai friend Sam. Jack relates that his entire clan in Iga, Japan is under threat from an unseen enemy. The youngsters of his village are disappearing at an alarming rate and efforts to trace them are coming to naught. Further, their king has been threatened by the cruel Emperor Hidoi Shin. The samurai of Sam's village are loyal to the king and lead his army but the disappearance of the good fighters has now put them at a disadvantage. Sam's grandfather talks about the lurking of a secret shadow but time is running out. Bheem and gang travel to Japan with Jack to save his clan and solve the Shinobi secret.",2013,G,['IN'],63,,,,,,,,,,,,,Chhota Bheem and the ShiNobi Secret,Movie,"Prof. Dhoomketu is trying to build a new machine based on how a volcano works. Dholu and Bholu mess around which gives Kalia a new 'smoking' hairdo. As Bheem and Chutki try to restore the machine, Indumati arrives in with Bheem's Samurai friend Sam. Jack relates that his entire clan in Iga, Japan is under threat from an unseen enemy. The youngsters of his village are disappearing at an alarming rate and efforts to trace them are coming to naught. Further, their king has been threatened by the cruel Emperor Hidoi Shin. The samurai of Sam's village are loyal to the king and lead his army but the disappearance of the good fighters has now put them at a disadvantage. Sam's grandfather talks about the lurking of a secret shadow but time is running out. Bheem and gang travel to Japan with Jack to save his clan and solve the Shinobi secret.",2013,G,,63 min,India,Netflix,,,
1050,Bhaji in Problem,MOVIE,Sundeep leads a double life when he marries two women and keeps them from one another. His carefully planned life unravels when an old friend who knows his secret arrives looking to fall in love.,2013,,['IN'],117,,,,,,,,,,,,,Bhaji in Problem,Movie,Sundeep leads a double life when he marries two women and keeps them from one another. His carefully planned life unravels when an old friend who knows his secret arrives looking to fall in love.,2013,,,117 min,India,Netflix,,,
1051,Dedh Ishqiya,MOVIE,A team of con men fall for a Begum and her female confidante. Does their love fructify?,2014,R,['IN'],148,,,,,,,,,,,,,Dedh Ishqiya,Movie,A team of con men fall for a Begum and her female confidante. Does their love fructify?,2014,R,,148 min,India,Netflix,,,
1052,She's The One,MOVIE,A television hosts wakes up to her true desires when his best friend's video goes viral.,2013,,['PH'],110,,,,,,,,,,,,,She's The One,Movie,A television hosts wakes up to her true desires when his best friend's video goes viral.,2013,,,110 min,Philippines,Netflix,,,
1053,Wedding Association,MOVIE,"Ismail's son, Tarik returns to his village after long years of being away and announces that he is engaged to a Latvian woman named Nugesha and although he doesn't have the means for it, Ismail still wants to be the one who pays for the expenses of the wedding. Several problems ensue as he tries to make sure that there is enough money for the wedding.",2013,PG-13,['XX'],106,,,,,,,,,,,,,Wedding Association,Movie,"Ismail's son, Tarik returns to his village after long years of being away and announces that he is engaged to a Latvian woman named Nugesha and although he doesn't have the means for it, Ismail still wants to be the one who pays for the expenses of the wedding. Several problems ensue as he tries to make sure that there is enough money for the wedding.",2013,PG-13,,106 min,,Netflix,,,
1054,Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,"A culmination of Chelsea Handler's stand-up comedy tour in support of her fourth New York Times #1 Bestseller, Uganda Be Kidding Me.",2014,,['US'],71,,,,,,,,,,,,,Chelsea Handler: Uganda Be Kidding Me Live,Movie,"A culmination of Chelsea Handler's stand-up comedy tour in support of her fourth New York Times #1 Bestseller, Uganda Be Kidding Me.",2014,,,71 min,United States,Netflix,,,
1055,Ghadi,MOVIE,"Leba is a music instructor who lives in a small Lebanese town. Social pressure leads him to get married and have children. Lara, his beloved wife, births a girl, later other one and finally Ghadi, a boy with special needs related with Down Syndrome. Ghadi could have been a burden, but he is a cause of pride and joy for all of them —but a test too that proves the intolerance of other people.",2013,PG-13,['LB'],100,,,,,,,,,,,,,Ghadi,Movie,"Leba is a music instructor who lives in a small Lebanese town. Social pressure leads him to get married and have children. Lara, his beloved wife, births a girl, later other one and finally Ghadi, a boy with special needs related with Down Syndrome. Ghadi could have been a burden, but he is a cause of pride and joy for all of them —but a test too that proves the intolerance of other people.",2013,PG-13,,100 min,Lebanon,Netflix,,,
1056,Swearnet: The Movie,MOVIE,"Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.",2014,R,['CA'],112,,,,,,,,,,,,,Swearnet: The Movie,Movie,"Fed up with being censored in their post-Trailer Park Boys lives, the out of work stars/world-renowned 'swearists', Mike Smith, Robb Wells and John Paul Tremblay decide to start their own uncensored network on the internet.",2014,R,,112 min,Canada,Netflix,,,
1057,E-Team,MOVIE,"E-Team is driven by the high-stakes investigative work of four intrepid human rights workers, offering a rare look at their lives at home and their dramatic work in the field.",2014,,['US'],88,,,,,,,,,,,,,E-Team,Movie,"E-Team is driven by the high-stakes investigative work of four intrepid human rights workers, offering a rare look at their lives at home and their dramatic work in the field.",2014,,,88 min,United States,Netflix,,,
1058,SampleThis,MOVIE,"A documentary that reveals how a forgotten record by the Incredible Bongo Band helped cement the foundation of hip hop when DJ Herc extended its percussion by playing them back to back, creating an anthem on the streets of the Bronx.",2013,,['US'],85,,,,,,,,,,,,,SampleThis,Movie,"A documentary that reveals how a forgotten record by the Incredible Bongo Band helped cement the foundation of hip hop when DJ Herc extended its percussion by playing them back to back, creating an anthem on the streets of the Bronx.",2013,,,85 min,United States,Netflix,,,
1059,El Mago Pop,MOVIE,"Antonio Diaz is a young and talented magician who uses magic to test the six degrees of separation theory, meeting celebrities and anonymous people along the way.",2013,,['ES'],44,,,,,,,,,,,,,El Mago Pop,Movie,"Antonio Diaz is a young and talented magician who uses magic to test the six degrees of separation theory, meeting celebrities and anonymous people along the way.",2013,,,44 min,Spain,Netflix,,,
1060,Ghanchakkar,MOVIE,A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,2013,PG,['IN'],137,,,,,,,,,,,,,Ghanchakkar,Movie,A safe cracker claims he has lost his memory when two criminals come calling for their cut of the bank heist loot.,2013,PG,,137 min,India,Netflix,,,
1061,100 Things to Do Before High School,MOVIE,"With the pressures of high school in their near future, CJ and her two best friends decide to embark on a series of middle school adventures while they can still take risks and have fun.",2014,,['US'],44,,,,,,,,,,,,,100 Things to Do Before High School,Movie,"With the pressures of high school in their near future, CJ and her two best friends decide to embark on a series of middle school adventures while they can still take risks and have fun.",2014,,,44 min,United States,Netflix,,,
1062,Seven Souls in the Skull Castle,MOVIE,"After the demise of warlord Nobunaga ODA, Japan was about to be unified by Hideyoshi TOYOTOMI. However, there was one man in Kanto region that was defiant to it. That man, who named himself TenmaOh (Mirai MORIYAMA) and leads the KANTO DOKURO-TO, an armed group hiding in the pitch-black DOKURO-JO (skull castle), once worked for NOBUNAGA. Sutenosuke (Shun OGURI) happens to rescue a woman who has been chased by the KANTO DOKURO-TO, which was headed by the bloodthirsty madman TenmaOh.",2013,,['JP'],179,,,,,,,,,,,,,Seven Souls in the Skull Castle,Movie,"After the demise of warlord Nobunaga ODA, Japan was about to be unified by Hideyoshi TOYOTOMI. However, there was one man in Kanto region that was defiant to it. That man, who named himself TenmaOh (Mirai MORIYAMA) and leads the KANTO DOKURO-TO, an armed group hiding in the pitch-black DOKURO-JO (skull castle), once worked for NOBUNAGA. Sutenosuke (Shun OGURI) happens to rescue a woman who has been chased by the KANTO DOKURO-TO, which was headed by the bloodthirsty madman TenmaOh.",2013,,,179 min,Japan,Netflix,,,
1063,Giraffada,MOVIE,"Yacine is the veterinarian of the only zoo remaining in the Palestinian West Bank. He lives alone with his 10-year old son, Ziad. The kid has a special bond with the two giraffes in the zoo. He seems to be the only one to communicate with them. After an air raid in the region the male giraffe dies. His mate, Rita, won’t survive unless the veterinarian finds her a new companion. The only zoo that might provide this animal is located in Tel Aviv ...",2014,,"['DE', 'IT', 'PS', 'FR']",85,,,,,,,,,,,,,Giraffada,Movie,"Yacine is the veterinarian of the only zoo remaining in the Palestinian West Bank. He lives alone with his 10-year old son, Ziad. The kid has a special bond with the two giraffes in the zoo. He seems to be the only one to communicate with them. After an air raid in the region the male giraffe dies. His mate, Rita, won’t survive unless the veterinarian finds her a new companion. The only zoo that might provide this animal is located in Tel Aviv ...",2014,,,85 min,"Germany, Italy, Palestine, State of, France",Netflix,,,
1064,Pagpag: Siyam na Buhay,MOVIE,The movie follows a group of teenagers that are terrorized by an evil spirit. The film revolves around the traditional Filipino belief that one should never go home directly after visiting a wake since it risks bringing evil spirits or the deceased to one's home.,2013,,['PH'],105,,,,,,,,,,,,,Pagpag: Siyam na Buhay,Movie,The movie follows a group of teenagers that are terrorized by an evil spirit. The film revolves around the traditional Filipino belief that one should never go home directly after visiting a wake since it risks bringing evil spirits or the deceased to one's home.,2013,,,105 min,Philippines,Netflix,,,
